sample_id	original_R1	original_R2	new_R1	new_R2
1T	A010001RSS00_S126_R1_001.fastq.gz	A010001RSS00_S126_R2_001.fastq.gz	1T_R1.fastq.gz	1T_R2.fastq.gz
2T	A010002RSS00_S127_R1_001.fastq.gz	A010002RSS00_S127_R2_001.fastq.gz	2T_R1.fastq.gz	2T_R2.fastq.gz
3T	A010003RSS00_S128_R1_001.fastq.gz	A010003RSS00_S128_R2_001.fastq.gz	3T_R1.fastq.gz	3T_R2.fastq.gz
4T	A010004RSS00_S129_R1_001.fastq.gz	A010004RSS00_S129_R2_001.fastq.gz	4T_R1.fastq.gz	4T_R2.fastq.gz
5T	A010005RSS00_S130_R1_001.fastq.gz	A010005RSS00_S130_R2_001.fastq.gz	5T_R1.fastq.gz	5T_R2.fastq.gz
6T	A010006RSS00_S131_R1_001.fastq.gz	A010006RSS00_S131_R2_001.fastq.gz	6T_R1.fastq.gz	6T_R2.fastq.gz
7T	A010008RSS00_S132_R1_001.fastq.gz	A010008RSS00_S132_R2_001.fastq.gz	7T_R1.fastq.gz	7T_R2.fastq.gz
8T	A010011RSS00_S134_R1_001.fastq.gz	A010011RSS00_S134_R2_001.fastq.gz	8T_R1.fastq.gz	8T_R2.fastq.gz
9T	A010013RSS00_S135_R1_001.fastq.gz	A010013RSS00_S135_R2_001.fastq.gz	9T_R1.fastq.gz	9T_R2.fastq.gz
10T	A010014RSS00_S136_R1_001.fastq.gz	A010014RSS00_S136_R2_001.fastq.gz	10T_R1.fastq.gz	10T_R2.fastq.gz
11T	A010015RSS00_S137_R1_001.fastq.gz	A010015RSS00_S137_R2_001.fastq.gz	11T_R1.fastq.gz	11T_R2.fastq.gz
12T	A010017RSS00_S138_R1_001.fastq.gz	A010017RSS00_S138_R2_001.fastq.gz	12T_R1.fastq.gz	12T_R2.fastq.gz
13T	A010018RSS00_S139_R1_001.fastq.gz	A010018RSS00_S139_R2_001.fastq.gz	13T_R1.fastq.gz	13T_R2.fastq.gz
14T	A010019RSS00_S140_R1_001.fastq.gz	A010019RSS00_S140_R2_001.fastq.gz	14T_R1.fastq.gz	14T_R2.fastq.gz
15T	A010020RSS00_S33_R1_001.fastq.gz	A010020RSS00_S33_R2_001.fastq.gz	15T_R1.fastq.gz	15T_R2.fastq.gz
16T	A010021RSS00_S141_R1_001.fastq.gz	A010021RSS00_S141_R2_001.fastq.gz	16T_R1.fastq.gz	16T_R2.fastq.gz
17T	A010022RSS00_S34_R1_001.fastq.gz	A010022RSS00_S34_R2_001.fastq.gz	17T_R1.fastq.gz	17T_R2.fastq.gz
18T	A010023RSS00_S35_R1_001.fastq.gz	A010023RSS00_S35_R2_001.fastq.gz	18T_R1.fastq.gz	18T_R2.fastq.gz
19T	A010028RSS00_S38_R1_001.fastq.gz	A010028RSS00_S38_R2_001.fastq.gz	19T_R1.fastq.gz	19T_R2.fastq.gz
20T	A010029RSS00_S39_R1_001.fastq.gz	A010029RSS00_S39_R2_001.fastq.gz	20T_R1.fastq.gz	20T_R2.fastq.gz
21T	A010031RSS00_S40_R1_001.fastq.gz	A010031RSS00_S40_R2_001.fastq.gz	21T_R1.fastq.gz	21T_R2.fastq.gz
22T	A010032RSS00_S41_R1_001.fastq.gz	A010032RSS00_S41_R2_001.fastq.gz	22T_R1.fastq.gz	22T_R2.fastq.gz
23T	A010034RSS00_S43_R1_001.fastq.gz	A010034RSS00_S43_R2_001.fastq.gz	23T_R1.fastq.gz	23T_R2.fastq.gz
24T	A010035RSS00_S44_R1_001.fastq.gz	A010035RSS00_S44_R2_001.fastq.gz	24T_R1.fastq.gz	24T_R2.fastq.gz
25T	A010038RSS00_S17_R1_001.fastq.gz	A010038RSS00_S17_R2_001.fastq.gz	25T_R1.fastq.gz	25T_R2.fastq.gz
26T	A010040RSS00_S46_R1_001.fastq.gz	A010040RSS00_S46_R2_001.fastq.gz	26T_R1.fastq.gz	26T_R2.fastq.gz
27T	A010041RSS00_S47_R1_001.fastq.gz	A010041RSS00_S47_R2_001.fastq.gz	27T_R1.fastq.gz	27T_R2.fastq.gz
28T	A010043RSS00_S48_R1_001.fastq.gz	A010043RSS00_S48_R2_001.fastq.gz	28T_R1.fastq.gz	28T_R2.fastq.gz
29T	A010044RSS00_S19_R1_001.fastq.gz	A010044RSS00_S19_R2_001.fastq.gz	29T_R1.fastq.gz	29T_R2.fastq.gz
30T	A010045RSS00_S20_R1_001.fastq.gz	A010045RSS00_S20_R2_001.fastq.gz	30T_R1.fastq.gz	30T_R2.fastq.gz
31T	A010046RSS00_S21_R1_001.fastq.gz	A010046RSS00_S21_R2_001.fastq.gz	31T_R1.fastq.gz	31T_R2.fastq.gz
32T	A010048RSS00_S22_R1_001.fastq.gz	A010048RSS00_S22_R2_001.fastq.gz	32T_R1.fastq.gz	32T_R2.fastq.gz
33T	A010049RSS00_S23_R1_001.fastq.gz	A010049RSS00_S23_R2_001.fastq.gz	33T_R1.fastq.gz	33T_R2.fastq.gz
34T	A010051RSS00_S24_R1_001.fastq.gz	A010051RSS00_S24_R2_001.fastq.gz	34T_R1.fastq.gz	34T_R2.fastq.gz
35T	A010053RSS00_S25_R1_001.fastq.gz	A010053RSS00_S25_R2_001.fastq.gz	35T_R1.fastq.gz	35T_R2.fastq.gz
36T	A010056RSS00_S26_R1_001.fastq.gz	A010056RSS00_S26_R2_001.fastq.gz	36T_R1.fastq.gz	36T_R2.fastq.gz
37T	A010058RSS00_S27_R1_001.fastq.gz	A010058RSS00_S27_R2_001.fastq.gz	37T_R1.fastq.gz	37T_R2.fastq.gz
38T	A010060RSS00_S28_R1_001.fastq.gz	A010060RSS00_S28_R2_001.fastq.gz	38T_R1.fastq.gz	38T_R2.fastq.gz
39T	A010062RSS00_S29_R1_001.fastq.gz	A010062RSS00_S29_R2_001.fastq.gz	39T_R1.fastq.gz	39T_R2.fastq.gz
40T	A010063RSS00_S30_R1_001.fastq.gz	A010063RSS00_S30_R2_001.fastq.gz	40T_R1.fastq.gz	40T_R2.fastq.gz
