sampleName	read1Path	read2Path	sampleType
100T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/100T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/100T_r2.fq.gz	Tumor
101T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/101T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/101T_r2.fq.gz	Tumor
102T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/102T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/102T_r2.fq.gz	Tumor
103T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/103T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/103T_r2.fq.gz	Tumor
104T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/104T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/104T_r2.fq.gz	Tumor
105T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/105T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/105T_r2.fq.gz	Tumor
106T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/106T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/106T_r2.fq.gz	Tumor
107T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/107T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/107T_r2.fq.gz	Tumor
108T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/108T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/108T_r2.fq.gz	Tumor
109T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/109T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/109T_r2.fq.gz	Tumor
10T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/10T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/10T_r2.fq.gz	Tumor
110T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/110T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/110T_r2.fq.gz	Tumor
111T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/111T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/111T_r2.fq.gz	Tumor
112T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/112T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/112T_r2.fq.gz	Tumor
113T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/113T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/113T_r2.fq.gz	Tumor
114T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/114T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/114T_r2.fq.gz	Tumor
115T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/115T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/115T_r2.fq.gz	Tumor
116T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/116T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/116T_r2.fq.gz	Tumor
117T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/117T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/117T_r2.fq.gz	Tumor
118T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/118T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/118T_r2.fq.gz	Tumor
119T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/119T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/119T_r2.fq.gz	Tumor
11T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/11T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/11T_r2.fq.gz	Tumor
120T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/120T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/120T_r2.fq.gz	Tumor
121T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/121T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/121T_r2.fq.gz	Tumor
122T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/122T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/122T_r2.fq.gz	Tumor
123T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/123T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/123T_r2.fq.gz	Tumor
124T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/124T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/124T_r2.fq.gz	Tumor
125T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/125T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/125T_r2.fq.gz	Tumor
126T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/126T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/126T_r2.fq.gz	Tumor
127T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/127T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/127T_r2.fq.gz	Tumor
128T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/128T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/128T_r2.fq.gz	Tumor
129T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/129T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/129T_r2.fq.gz	Tumor
12T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/12T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/12T_r2.fq.gz	Tumor
130T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/130T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/130T_r2.fq.gz	Tumor
131T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/131T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/131T_r2.fq.gz	Tumor
132T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/132T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/132T_r2.fq.gz	Tumor
133T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/133T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/133T_r2.fq.gz	Tumor
134T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/134T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/134T_r2.fq.gz	Tumor
135T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/135T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/135T_r2.fq.gz	Tumor
136T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/136T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/136T_r2.fq.gz	Tumor
137T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/137T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/137T_r2.fq.gz	Tumor
138T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/138T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/138T_r2.fq.gz	Tumor
139T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/139T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/139T_r2.fq.gz	Tumor
13T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/13T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/13T_r2.fq.gz	Tumor
140T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/140T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/140T_r2.fq.gz	Tumor
141T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/141T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/141T_r2.fq.gz	Tumor
142T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/142T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/142T_r2.fq.gz	Tumor
143T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/143T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/143T_r2.fq.gz	Tumor
144T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/144T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/144T_r2.fq.gz	Tumor
145T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/145T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/145T_r2.fq.gz	Tumor
146T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/146T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/146T_r2.fq.gz	Tumor
147T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/147T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/147T_r2.fq.gz	Tumor
148T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/148T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/148T_r2.fq.gz	Tumor
149T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/149T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/149T_r2.fq.gz	Tumor
14T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/14T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/14T_r2.fq.gz	Tumor
150T	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/150T_r1.fq.gz	s3://crm.tumorstudy.analysis/mybrca-sequencing-data/RNAseq/150T_r2.fq.gz	Tumor
