sampleName	read1Path	read2Path	sampleType
100T	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/100T_R1.fastq.gz	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/100T_R2.fastq.gz	Tumor
101T	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/101T_R1.fastq.gz	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/101T_R2.fastq.gz	Tumor
102T	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/102T_R1.fastq.gz	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/102T_R2.fastq.gz	Tumor
103T	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/103T_R1.fastq.gz	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/103T_R2.fastq.gz	Tumor
104T	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/104T_R1.fastq.gz	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/104T_R2.fastq.gz	Tumor
105T	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/105T_R1.fastq.gz	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/105T_R2.fastq.gz	Tumor
106T	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/106T_R1.fastq.gz	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/106T_R2.fastq.gz	Tumor
107T	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/107T_R1.fastq.gz	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/107T_R2.fastq.gz	Tumor
108T	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/108T_R1.fastq.gz	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/108T_R2.fastq.gz	Tumor
109T	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/109T_R1.fastq.gz	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/109T_R2.fastq.gz	Tumor
10T	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/10T_R1.fastq.gz	s3://crmy-gb-main/neondisco/dataset-ntuh/RNAseq-fastq-raw/10T_R2.fastq.gz	Tumor
