sampleName	read1Path	read2Path	sampleType
10T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/10T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/10T_r2.fastq.gz	Tumor
11T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/11T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/11T_r2.fastq.gz	Tumor
12T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/12T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/12T_r2.fastq.gz	Tumor
13T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/13T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/13T_r2.fastq.gz	Tumor
14T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/14T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/14T_r2.fastq.gz	Tumor
1T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/1T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/1T_r2.fastq.gz	Tumor
2T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/2T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/2T_r2.fastq.gz	Tumor
3T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/3T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/3T_r2.fastq.gz	Tumor
4T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/4T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/4T_r2.fastq.gz	Tumor
5T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/5T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/5T_r2.fastq.gz	Tumor
6T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/6T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/6T_r2.fastq.gz	Tumor
7T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/7T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/7T_r2.fastq.gz	Tumor
8T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/8T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/8T_r2.fastq.gz	Tumor
9T	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/9T_r1.fastq.gz	s3://crmy-gb-main/neondisco/datasets-external/Weber-et-al-FF-BC-primary/fq-files/9T_r2.fastq.gz	Tumor
