task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	84/a73861	7187	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (8)	COMPLETED	0	2025-04-10 07:22:17.097	35m 26s	34m 58s	90.0%	35.2 GB	35.9 GB	46.1 GB	18.3 GB
4	f8/d0fe0d	7174	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (4)	COMPLETED	0	2025-04-10 07:22:17.076	42m 6s	41m 42s	83.6%	35.2 GB	36 GB	47.7 GB	20.2 GB
3	e3/257c80	7143	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (3)	COMPLETED	0	2025-04-10 07:22:16.826	42m 9s	41m 43s	82.1%	35.2 GB	36 GB	47.1 GB	19.4 GB
9	6c/9f4a8d	118714	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (1)	COMPLETED	0	2025-04-10 07:57:44.338	10m 20s	9m 59s	160.2%	19.3 GB	21.5 GB	11.2 GB	8.6 GB
11	5d/defaf6	149246	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (3)	COMPLETED	0	2025-04-10 08:04:25.523	9m 12s	9m 6s	210.9%	20.6 GB	23.1 GB	14.2 GB	11.4 GB
12	94/07a980	189933	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (1)	COMPLETED	0	2025-04-10 08:08:04.887	7m 47s	7m 41s	108.4%	6 GB	7.5 GB	2.4 GB	2.3 GB
10	c3/d5555c	148945	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (2)	COMPLETED	0	2025-04-10 08:04:24.330	14m 53s	14m 47s	155.5%	23.5 GB	26 GB	18.4 GB	15.2 GB
13	a5/c4f1a1	240261	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (2)	COMPLETED	0	2025-04-10 08:13:38.712	6m 34s	6m 30s	119.2%	5.5 GB	7.5 GB	2.9 GB	2.7 GB
14	bc/ea2416	264831	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (3)	COMPLETED	0	2025-04-10 08:19:18.731	3m 13s	3m 10s	120.5%	2.1 GB	7.5 GB	2.3 GB	2 GB
2	4e/951c83	149232	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (2)	COMPLETED	0	2025-04-10 08:04:25.515	26m 8s	26m 2s	117.4%	35.2 GB	35.9 GB	44.6 GB	16.8 GB
