task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	a5/6f04f3	3455475	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (3)	COMPLETED	0	2025-04-11 04:40:51.324	9m 40s	9m 38s	328.8%	35.7 GB	36.8 GB	44.5 GB	16.7 GB
21	37/5a9195	3452563	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (21)	COMPLETED	0	2025-04-11 04:40:47.006	11m 9s	11m 6s	329.7%	35.8 GB	36.8 GB	45.7 GB	17.9 GB
20	b8/e90947	3453275	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (20)	COMPLETED	0	2025-04-11 04:40:48.270	12m 25s	12m 22s	301.1%	35.8 GB	36.9 GB	45.9 GB	18.1 GB
5	8e/37384b	3455901	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (5)	COMPLETED	0	2025-04-11 04:40:51.591	14m 57s	14m 54s	246.0%	35.8 GB	36.7 GB	47.3 GB	19.6 GB
17	b4/843d19	3453432	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (17)	COMPLETED	0	2025-04-11 04:40:48.487	20m 20s	20m 15s	215.4%	35.9 GB	36.9 GB	49.5 GB	22.1 GB
12	3d/1c1b5e	3704380	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (12)	COMPLETED	0	2025-04-11 05:01:08.661	32m 17s	31m 57s	87.6%	35.9 GB	36.9 GB	48 GB	20.3 GB
19	72/c69d37	3565248	ALIGNMENT_2P_S3LOCAL:ALIGN_READS_2PASS_STARSAM_S3LOCAL (19)	COMPLETED	0	2025-04-11 04:50:31.723	47m 59s	47m 56s	43.8%	35.7 GB	36.7 GB	42.6 GB	14.7 GB
25	d8/1d4b13	3565785	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (1)	COMPLETED	0	2025-04-11 04:50:32.732	55m 39s	55m 33s	25.2%	17.1 GB	37.6 GB	10.1 GB	7.7 GB
32	de/25b547	3904277	HLA_TYPING_ARCASHLA_S3LOCAL:TYPE_HLA_ALLELES_ARCASHLA_S3LOCAL (1)	COMPLETED	0	2025-04-11 05:46:12.256	3m 42s	3m 32s	103.1%	2.2 GB	14.2 GB	1.9 GB	1.7 GB
27	ed/b2f238	3598674	ALIGNMENT_2P_S3LOCAL:FIXMATES_MARKDUPES_SAMTOOLS_S3LOCAL (3)	COMPLETED	0	2025-04-11 04:53:13.737	59m 32s	59m 23s	27.6%	19.9 GB	38.8 GB	11.3 GB	8.7 GB
