fusionTranscriptID	fusionGeneID	breakpointPair	strand1	strand2	site1	site2	type	confidence	sampleID	toolID
PPP1R9A::AC002074.1__7:94911508-7:94388466	PPP1R9A::AC002074.1	7:94911508-7:94388466	+	+	CDS/splice-site	intron	duplication/5'-5'	high	3	Arriba
TRAPPC8::AC009831.2(3519),AC009831.4(11835)__18:31916272-18:31971064	TRAPPC8::AC009831.2(3519),AC009831.4(11835)	18:31916272-18:31971064	-	-	CDS/splice-site	intergenic	duplication	high	3	Arriba
PLCB4::PLCB1__20:9338067-20:8854683	PLCB4::PLCB1	20:9338067-20:8854683	+	+	CDS/splice-site	intron	duplication	high	3	Arriba
PLCB4::PLCB1__20:9096342-20:8628294	PLCB4::PLCB1	20:9096342-20:8628294	+	+	5'UTR/splice-site	CDS/splice-site	duplication	high	3	Arriba
COMMD10::AC094104.1(35577),TRIM36(710)__5:116134178-5:115124052	COMMD10::AC094104.1(35577),TRIM36(710)	5:116134178-5:115124052	+	+	CDS/splice-site	intergenic	duplication	high	3	Arriba
ARHGAP42::CNTN5__11:100859625-11:100340463	ARHGAP42::CNTN5	11:100859625-11:100340463	+	+	CDS/splice-site	CDS/splice-site	duplication	high	3	Arriba
UHRF1::KRT18P28(7863),RNU6-41P(13944)__19:4911038-1:182968268	UHRF1::KRT18P28(7863),RNU6-41P(13944)	19:4911038-1:182968268	+	+	CDS/splice-site	intergenic	translocation	high	3	Arriba
COMMD10::TRIM36__5:116134178-5:115159656	COMMD10::TRIM36	5:116134178-5:115159656	+	+	CDS/splice-site	CDS	duplication/5'-5'	high	3	Arriba
SPPL3::HNF1A-AS1__12:120810809-12:120941942	SPPL3::HNF1A-AS1	12:120810809-12:120941942	-	-	CDS/splice-site	exon/splice-site	duplication	high	3	Arriba
UBN2::DGKI__7:139261741-7:137386258	UBN2::DGKI	7:139261741-7:137386258	+	+	CDS/splice-site	3'UTR	duplication/5'-5'	high	3	Arriba
VPS53::SMG6__17:697418-17:2068931	VPS53::SMG6	17:697418-17:2068931	-	-	CDS/splice-site	CDS/splice-site	duplication	high	3	Arriba
SPIN1::IGF2BP1__9:88426591-17:49043967	SPIN1::IGF2BP1	9:88426591-17:49043967	+	+	CDS/splice-site	CDS/splice-site	translocation	high	3	Arriba
NADSYN1::DLG2__11:71464142-11:85017832	NADSYN1::DLG2	11:71464142-11:85017832	+	+	CDS/splice-site	intron	deletion/5'-5'	high	3	Arriba
LRRC8D::PKN2-AS1__1:89843782-1:88419117	LRRC8D::PKN2-AS1	1:89843782-1:88419117	+	+	5'UTR/splice-site	intron	duplication/5'-5'	high	3	Arriba
BRWD1::AP001610.2__21:39269899-21:41442746	BRWD1::AP001610.2	21:39269899-21:41442746	-	-	CDS/splice-site	exon/splice-site	duplication	high	3	Arriba
MGAM2::SLC37A3__7:142188267-7:140333950	MGAM2::SLC37A3	7:142188267-7:140333950	+	+	intron	3'UTR	duplication/5'-5'	medium	3	Arriba
